StudentName,SSN,Address,PhoneNumber,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
Michelle Mack,816-93-4862,"Unit 4911 Box 6789, DPO AP 60360",240-794-7527,1041,17,1,3,2,11.31494613,23,1,1,0,0,0,0,1.0582874,4
Nicole Brandt,328-73-6617,"30154 Wall Key Apt. 996, Foxchester, SD 76964",946-342-5467,1042,17,0,0,1,14.29404633,7,0,2,0,0,0,0,2.625128098,2
Gina Silva,749-68-5420,"Unit 7743 Box 3666, DPO AA 25303",476-822-5927,1043,16,1,3,2,18.75409231,12,1,4,0,0,0,0,2.808754822,2
Brandon Adkins,411-88-6564,"USNV Beck, FPO AE 07263",977-833-6910,1044,18,1,0,1,18.24509122,9,0,2,0,1,0,0,2.888891669,2
Jimmy Campbell,335-88-5007,"56186 Kelley Cliff Apt. 914, Kelseyburgh, MT 57509",249-338-5706,1045,18,1,0,1,18.92151236,1,1,3,1,1,0,0,4.0,0
Cheryl Johnson,776-38-7173,"5633 Morrow Tunnel Apt. 170, New Madison, MO 26617",509-164-4997,1046,18,0,0,2,4.89431194,7,0,4,0,0,1,0,2.515300272,2
Jeffrey Johnson,042-18-6409,"2592 Daniels Estate, Starkbury, NC 05017",779-334-4054,1047,18,0,1,2,2.631306133,5,0,1,1,0,0,0,2.56376543,2
Joseph Andrade,723-17-4562,"8297 Stacy Park, Beckerfurt, VT 67800",632-374-6404,1048,17,0,0,2,6.04553401,15,0,2,0,0,0,0,1.703611803,4
Cody Vargas,480-86-4789,"750 Allen Alley Apt. 661, Lake Kellymouth, AL 26587",211-869-4774,1049,16,0,1,2,17.90170346,17,0,3,0,0,1,0,2.099885157,3
Jacob Morrison,853-13-2931,"04825 Warren Knoll, East Lisafort, SC 45293",409-122-7272,1050,16,1,1,1,19.44106949,16,0,4,1,0,0,0,2.461046963,3
Christopher Maynard,486-86-6709,"521 Laura Ramp, Lewisshire, NC 11794",459-971-1517,1051,17,1,2,2,17.18649902,5,0,3,0,0,0,0,2.935477192,2
Michael Peters,317-58-2946,"133 Carney Cliffs, Port Thomas, VA 39948",723-725-2989,1052,16,1,2,0,2.200354423,12,1,1,1,0,1,0,1.986378059,4
Bradley Smith,633-60-5246,"75625 Ballard Dam Apt. 482, North Maryshire, MT 62883",930-656-6659,1053,17,1,0,1,18.94855996,22,0,4,0,0,1,0,1.571544191,4
James Alexander,219-33-1693,"15332 Villarreal Stravenue, Jonathanside, CT 09408",595-912-3892,1054,18,0,0,2,8.467160547,13,0,1,0,1,0,0,1.66431069,4
Matthew West,130-16-9217,"PSC 8673, Box 5541, APO AP 28329",632-716-1527,1055,17,0,0,0,0.186205815,29,1,2,1,1,0,0,0.756259167,4
Sandra Gallagher,015-34-1921,"1002 Huffman Hills Apt. 983, Port Mitchell, WA 04206",629-621-5330,1056,18,0,0,1,8.847874815,25,0,2,0,1,0,0,0.802769539,4
Beth Weber,413-05-6142,"1420 Johnson Turnpike Suite 677, Lake Anthony, WA 95246",867-629-9647,1057,18,1,0,4,0.921383394,20,0,2,0,1,1,0,1.342387178,4
Alexander Thompson,287-67-2080,"USS Conley, FPO AA 78104",838-688-2072,1058,15,0,0,4,10.87755842,29,0,3,1,0,0,0,0.286571288,4
Natalie Pacheco,217-71-0141,"59469 Erica Squares, New Danielle, WA 07984",444-776-2648,1059,17,0,0,1,6.771080549,9,1,3,0,1,0,0,2.613838694,2
Elizabeth Wheeler,075-25-9127,"Unit 2271 Box 1976, DPO AP 85565",210-495-1936,1060,15,1,3,0,9.468698672,23,0,3,0,1,0,0,0.929012555,4
Kelly Morales,830-67-2874,"2894 Jarvis Crescent, Lake Josephhaven, WV 75238",205-908-8638,1061,17,1,1,1,12.26340721,10,0,0,1,0,1,0,1.892758696,4
Jessica Rogers,652-80-4451,"6026 Sean Motorway, Maryton, MS 19787",688-279-7827,1062,17,0,0,1,17.37602192,12,0,2,0,0,1,0,2.331261549,3
Nathan Watkins,286-22-5560,"561 Lam Hollow Suite 293, Hebertchester, NE 78742",964-562-8866,1063,15,0,1,3,13.23803153,11,0,3,0,1,0,0,2.234238473,3
Lydia Vaughan,783-71-7341,"25261 Carol Unions Suite 873, Perryhaven, MT 35905",821-488-8435,1064,15,0,0,1,8.68097737,8,0,2,0,1,0,0,2.385828219,3
Michelle Moon,058-73-6010,"0867 Williams Plains Suite 104, Snydertown, AL 90622",252-154-7923,1065,17,0,0,2,16.38855707,3,1,4,0,0,0,0,3.347356744,1
Kathleen Young,191-29-2027,"663 Armstrong Circles Suite 507, Harrisland, MA 57460",676-610-3880,1066,16,0,1,1,18.11164275,6,1,3,1,0,0,0,3.261855307,1
David Miller,796-06-7396,"91659 Peter Pike Apt. 284, Port Alexanderberg, IN 40594",383-217-9775,1067,18,0,0,4,2.395199329,23,0,3,0,1,0,0,1.039623879,4
Andrew Hill,081-01-8498,"194 Cook Port, Ashleyside, LA 48619",850-725-4565,1068,15,1,0,1,10.63865955,28,0,0,0,1,0,0,0.027818625,4
Jose Ramirez,419-52-9650,"993 Jennifer Cape Suite 127, New Barbaraview, LA 01468",518-103-7076,1069,18,1,3,2,5.690239195,21,1,3,0,0,1,0,1.329964538,4
David Collins,766-76-6285,"138 Michael Plaza, Jamesmouth, NC 82228",921-269-2924,1070,16,1,2,1,0.941223958,1,0,4,0,0,1,0,3.283916522,1
Courtney Johnson,563-92-1327,"05353 Kevin Spurs Apt. 038, New Pamela, VA 67834",321-251-6678,1071,16,0,1,2,13.3709339,6,0,2,1,0,0,0,2.937454182,2
Yvonne Sandoval,485-63-9178,"PSC 1779, Box 3771, APO AE 48976",544-748-4104,1072,16,1,1,1,17.25541555,28,0,3,0,0,1,1,0.738868203,4
Dana Stewart,047-76-8762,"8249 Richard Mountains, Bethanyborough, NV 94857",210-998-5870,1073,15,0,1,1,3.25805309,8,0,2,1,1,0,0,2.556801663,2
Denise Gross,275-69-0816,"5415 Fitzpatrick Village, Dawnside, NM 10820",523-481-7398,1074,16,0,0,3,16.24827315,4,1,2,0,0,0,0,3.300928569,1
Julie Brown,312-92-6576,"67102 Philip Lodge Apt. 580, Evansville, MD 27042",926-764-1490,1075,15,1,0,3,17.06791467,14,0,3,1,0,1,0,2.200682947,3
Sandra Rogers,621-12-3823,"67518 Salazar Freeway Apt. 579, North Daltonfort, WA 78028",904-179-3441,1076,16,0,0,3,18.28680885,17,0,3,0,1,0,0,1.855865573,4
Jennifer Sanchez,716-16-2427,"2656 Melanie Square, South Alexanderside, NE 50452",457-185-7191,1077,18,0,0,2,5.305701782,3,0,3,0,0,0,0,2.734401494,2
Alexander Berry,811-96-2913,"USS Adams, FPO AE 27288",697-756-5340,1078,18,1,1,3,18.0790613,18,1,1,1,1,0,0,2.131737297,3
Donald Davidson,456-04-3466,"Unit 6170 Box 3100, DPO AP 69082",507-839-5922,1079,17,1,0,0,6.413255095,19,0,1,0,0,0,0,0.979769911,4
Mike Lynch,710-54-0050,"2299 Lowe Ports Apt. 667, Edwardschester, MS 42390",689-580-2927,1080,18,1,3,1,11.04676027,25,0,3,0,1,0,0,0.994325024,4
Monica Fisher,291-53-5320,"9700 Courtney Courts Suite 269, North Davidborough, VA 29484",378-489-9719,1081,17,0,3,1,1.010149417,6,0,1,0,1,0,0,2.074699977,3
Ruth Walker,360-15-0774,"63633 Carroll Forks, Lake Melanieton, NJ 90202",407-591-2537,1082,18,1,2,2,0.877621767,25,0,2,0,0,0,0,0.500508036,4
Sarah Miller,772-08-2251,"075 Nielsen Keys Apt. 957, Edwardstown, NE 85429",211-673-4257,1083,15,1,1,1,14.40746425,7,0,0,1,1,0,0,2.532438418,2
Jessica Mejia,134-68-8227,"PSC 9739, Box 1350, APO AA 29960",810-594-3975,1084,18,0,2,1,8.88959956,16,0,1,0,1,0,0,1.463378036,4
Courtney Rivera,737-15-6165,"1951 Harvey Orchard Suite 935, New Brandon, AZ 65694",615-586-6578,1085,17,1,0,2,5.125847507,12,0,3,1,1,0,0,2.342836773,3
Vincent Dorsey,122-96-4482,"309 Haney Rest Apt. 915, Lake Tylerton, MO 75489",619-106-8313,1086,17,1,2,3,3.80826992,23,0,3,0,0,0,0,1.158846334,4
Sheri Cooper,203-23-2140,"Unit 7676 Box 1024, DPO AP 20158",587-735-7977,1087,16,1,0,1,13.39906982,20,1,1,1,0,1,1,1.523748745,4
Samantha Gallagher,007-82-2941,"28531 Steele Meadows, Fisherstad, IA 34874",909-582-2272,1088,15,0,2,1,0.008030881,27,0,1,0,0,1,0,0.0,4
Leonard Ortiz,328-65-3968,"7447 Bonnie Crest, Wigginsshire, OK 88383",425-390-9893,1089,18,0,0,1,16.11782338,22,0,0,1,0,1,0,1.058622014,4
Andre Pham,802-65-0560,"7755 Olivia Path, Port Robert, ME 19264",775-112-8876,1090,16,0,2,1,1.584992123,10,0,2,0,0,1,1,2.229740184,3
Larry Johnson,499-62-7727,"632 Escobar River Apt. 232, Williamchester, AL 94271",255-756-8829,1091,18,0,3,1,3.829792298,26,0,1,0,0,0,1,0.194743281,4
Amy Greer,656-58-8991,"8343 Robinson Way, Mariaburgh, NV 56980",448-867-4332,1092,18,1,0,2,7.724727906,0,0,2,1,1,0,0,3.506920071,0
Fernando Fisher,063-41-4380,"30039 Jacqueline Villages Suite 072, West Theresaview, NC 52438",234-822-5900,1093,16,0,0,2,9.697174794,1,1,3,0,0,0,0,3.552286943,0
Kimberly Shah,255-28-1069,"945 Perez Vista Suite 221, South Dorothy, ME 01293",996-693-9270,1094,16,0,3,2,7.099902316,16,1,3,0,1,0,0,2.238491354,3
Meredith Marshall,220-67-1815,"8497 Wallace Route, Sandovalshire, NE 49329",375-214-6613,1095,16,1,0,1,6.4142433,4,0,1,1,1,0,0,2.708472344,2
Rebecca Hudson,295-31-7745,"40425 Gerald Springs Apt. 201, Port Caleb, CO 90633",444-420-8871,1096,16,1,2,3,19.27832024,29,0,3,0,0,0,1,0.732908234,4
Grant Fields,756-88-5509,"09792 Nathan Fall Apt. 041, New Bailey, IL 13377",754-250-6885,1097,16,1,1,1,12.83159362,29,0,4,0,0,1,0,0.965482445,4
Patricia Norris,326-12-7578,"80978 Cory Expressway Apt. 191, Freemanton, HI 40883",470-691-3481,1098,18,0,0,2,0.468659107,5,0,2,0,1,0,0,2.55523286,2
Jeffery Gutierrez,389-24-6686,"44613 Susan Cape, Davidbury, AZ 99176",638-714-9204,1099,16,0,0,3,8.603518169,25,0,2,1,0,1,1,0.7443223,4
Victoria Hayes,250-45-6747,"USNS Garza, FPO AE 24826",725-741-6432,1100,15,0,0,1,17.50017399,24,0,2,0,0,0,0,0.722056581,4
Kathryn Martin,880-77-4272,"192 Keith Mountain Apt. 884, East Shawnhaven, HI 17295",724-826-4030,1101,17,1,2,1,6.029123728,23,1,1,1,1,0,1,1.27122953,4
Michael Leach,684-61-4816,"2549 Reginald Fall, Paigemouth, WY 18446",284-186-5768,1102,16,1,0,3,1.891126895,6,0,3,1,0,1,1,2.526142141,2
Joseph Baker,226-17-8717,"00763 Wolfe Plaza, Christopherfurt, OR 19677",527-449-8090,1103,16,0,1,1,15.16769543,27,0,3,1,1,0,0,0.942415395,4
Anne Green,876-97-4915,"PSC 4923, Box 0929, APO AA 61387",937-622-5792,1104,18,1,0,2,12.12027664,20,1,2,0,1,0,0,1.515639098,4
Mark Williams,059-39-2062,"4552 Reynolds Gateway, Cherylhaven, AR 72576",930-780-8467,1105,16,1,1,0,11.40625016,29,0,3,1,0,0,0,0.648273927,4
Amanda Howell,609-23-4371,"460 Elizabeth Turnpike, Port Dawn, NY 16877",219-369-1494,1106,16,1,2,2,1.071531192,14,0,3,0,1,1,1,2.048850082,3
Andrew Rodriguez,095-43-1365,"3826 Cheryl Pass, Melissatown, PA 91523",737-597-9364,1107,16,0,3,1,2.809980196,18,0,0,1,0,0,1,0.842295999,4
Terri Wood,456-64-5979,"390 Clarke Freeway, Mackfurt, CT 37164",324-192-5383,1108,18,1,0,0,12.45098792,15,0,1,0,1,0,0,1.464187924,4
Peter Green,546-21-4286,"2350 Rebecca Crescent, South Stephen, IN 55305",824-369-7953,1109,16,1,2,2,4.156476829,24,1,3,1,1,0,0,1.487946865,4
Shirley Mullins,532-38-0743,"71761 Daugherty Rest, Tylerbury, VA 31128",758-697-8490,1110,17,0,2,1,10.08140159,12,1,4,0,0,0,0,2.587565796,2
Jason Serrano,202-23-7291,"6175 Malik Highway, Josephstad, NJ 41137",347-985-9199,1111,18,0,1,1,10.89763372,4,1,3,0,0,0,0,3.220806978,1
Gregory Johnson,124-09-1308,"847 Jennifer Gateway, Youngfurt, KS 52806",735-706-8804,1112,17,1,3,0,5.670143805,2,1,4,0,0,1,0,3.545159432,0
Jennifer Abbott,676-77-2137,"3591 Michael Freeway, New Kennethmouth, NC 76464",440-557-4012,1113,18,1,0,1,18.96850311,2,0,2,0,0,0,0,3.089598953,1
Kimberly Mckenzie,092-31-0643,"PSC 9817, Box 5205, APO AE 71728",876-890-6279,1114,16,0,0,1,16.84928214,18,1,1,0,1,1,0,1.91995644,4
Marilyn Stewart,847-88-2973,"128 Carla Field, Murraymouth, NE 44936",882-741-2036,1115,17,0,2,0,14.44747015,13,1,2,0,0,0,0,2.198593185,3
James Farrell,828-68-1282,"0733 Jose Fort, Jordanburgh, OH 43090",824-257-7337,1116,18,1,0,3,1.559877328,15,0,0,0,0,0,1,0.878212617,4
Christopher Park,079-62-7326,"USS Vazquez, FPO AA 50744",293-300-6911,1117,15,1,2,0,2.122600386,21,0,3,1,0,1,0,1.340368648,4
Marc Calderon,429-76-6251,"9568 Parker Way, New Diana, CT 20050",487-407-7053,1118,16,1,2,2,9.855626917,16,0,4,0,0,0,0,1.819511336,4
Jason Livingston,072-40-1911,"985 Courtney Streets, Lake Antonio, NM 62435",971-131-4254,1119,18,1,0,1,3.214266984,26,0,3,0,1,0,0,0.619350931,4
Terri Stephens,225-11-1874,"34696 Robert Common, New Melissastad, GA 42577",533-543-8479,1120,15,0,2,1,19.56530927,3,0,2,1,0,1,1,3.61946087,0
Rebecca Johnson,814-78-4971,"261 Devin Falls Apt. 795, Garciafurt, NJ 39200",970-982-9799,1121,18,1,0,3,3.170404681,12,1,1,1,1,0,0,2.174902796,3
Nancy Bowers,098-46-4107,"59057 Garcia Trace, Davidstad, KS 59543",510-310-5638,1122,15,1,1,1,9.749356709,7,1,1,0,1,1,0,2.974406015,2
Erin Jones,289-57-2832,"32672 Jenkins Fields, East Linda, KY 22363",388-739-6961,1123,16,0,1,4,7.282421137,18,0,2,0,0,0,0,0.980735844,4
April Fritz,611-06-8464,"1332 Soto Island, Lake Brianville, WA 75892",959-267-5340,1124,17,1,3,1,12.78772843,4,0,3,0,0,0,0,3.101673809,1
Gilbert Fox,505-41-2002,"1672 Leonard Extension Apt. 538, South Heather, VT 93570",726-782-4399,1125,15,0,0,2,2.580728178,1,1,2,1,0,1,0,3.498257342,1
Emily Small,731-23-4626,"669 Stewart Freeway, West Barbara, SC 41973",779-409-9646,1126,18,1,0,2,8.606328561,14,0,4,1,0,0,0,2.590553445,2
Phillip Copeland,575-11-3272,"1816 Elaine Heights, North Johnathan, WI 11746",901-420-5112,1127,16,1,1,3,5.494100656,1,0,3,1,0,0,0,3.535003758,0
Christy Dennis,547-40-4669,"20037 Aguilar Brooks Suite 037, East Kyleton, RI 13276",664-457-6415,1128,15,0,2,2,17.75503049,10,1,1,0,1,0,0,2.819921745,2
Edward Brown,143-82-0248,"PSC 7222, Box 0609, APO AE 08166",676-109-3451,1129,18,0,1,2,0.811714243,12,1,1,1,1,0,0,2.016596775,3
David Berry,040-55-8204,"833 Hurley Oval Apt. 031, Lopezside, FL 42309",971-381-4840,1130,18,1,0,1,18.27454988,22,1,3,0,0,0,0,1.371185039,4
Jeffrey Warner,055-89-2354,"987 Allen Springs Suite 135, Scottburgh, MT 26178",434-855-4597,1131,18,1,0,1,16.65988277,9,0,1,0,0,0,0,2.104795588,3
Michelle Odom,803-52-7813,"8225 Cox Freeway, North Karentown, LA 83263",986-751-5208,1132,15,1,0,3,5.951414329,2,0,3,0,0,0,0,3.030439089,1
Deanna Mccoy,761-39-0296,"8603 Danielle Views, West Philip, AR 58110",204-988-4159,1133,15,0,2,1,15.78581309,4,1,2,0,1,0,0,3.582421872,0
Patrick Malone,749-30-4034,"05864 Lisa Courts, Rogermouth, AL 62085",525-927-7348,1134,15,1,0,1,0.624271207,2,0,1,1,0,0,0,2.426546706,3
Derek Harmon,782-55-1340,"4025 Heath Mill Apt. 457, Adamport, VA 28082",705-345-3581,1135,17,0,0,2,19.33731101,5,1,2,1,0,0,0,3.16143627,1
Ryan Spencer,052-67-9119,"4646 Andrew Cove, Miguelfort, MO 50585",418-257-8216,1136,15,0,3,1,10.53189885,12,0,2,1,0,0,0,2.12263853,3
Bonnie Key,035-65-9393,"2559 Johnson Route, East Michaelport, MD 38431",935-792-3677,1137,15,1,0,4,6.065620521,9,0,3,0,1,0,0,2.204860581,3
Robert Ramos,131-55-3566,"6275 Olivia Drives, South Angelafurt, IL 85667",343-993-3270,1138,15,0,3,2,7.251664252,18,0,0,1,0,1,1,1.1829875,4
Amanda Schwartz,132-68-7215,"8308 Dana Loaf, East Gerald, NY 92775",362-962-7184,1139,17,1,1,2,1.328107069,7,0,3,1,0,0,0,2.738795716,2
Cole Matthews,051-06-1591,"61592 Hall Ridge Apt. 067, Rodriguezmouth, NC 92862",341-520-5929,1140,15,1,2,3,19.78699028,17,1,3,0,0,0,0,2.237901301,3
Joseph Patterson,373-39-1880,"08048 Lindsey Garden Suite 762, Ericafurt, TN 15126",812-206-1016,1141,18,1,0,0,0.785838903,2,0,3,1,0,0,0,3.139481546,1
Richard Huynh,315-06-8477,"03422 Jeffrey Parkways, Jameston, MA 02033",532-913-1097,1142,15,1,0,1,13.09814246,23,1,0,1,1,0,0,1.046044771,4
Michelle Little,516-93-6162,"89159 Chelsea Branch, Brendaton, NC 35388",327-830-3782,1143,18,1,2,2,8.854718554,23,1,3,0,0,0,0,0.816458245,4
Matthew Lee,373-75-0500,"Unit 3106 Box 3871, DPO AP 61797",757-136-2301,1144,18,0,2,1,18.97832436,16,0,2,1,0,1,0,2.033544621,3
Carlos Roy,335-05-0597,"6211 Jason Run, West Chasechester, ND 85270",440-484-7681,1145,18,0,2,2,4.919994806,7,1,2,1,1,0,0,2.432078523,3
Kenneth Pena,766-47-8484,"9402 Heidi Parks, Port Kevin, ID 84713",650-467-2437,1146,17,1,0,3,10.64173648,9,0,3,1,0,0,0,2.65977132,2
Troy Stephenson,477-23-0352,"551 Adam Parkway Apt. 819, Stevenberg, ID 04880",975-659-1278,1147,17,1,2,2,9.647124172,1,1,2,1,0,0,1,3.58888794,0
Nicole Rodriguez,387-83-7298,"030 Cook Manor Suite 822, Port Katherinemouth, NM 11880",357-835-7979,1148,17,0,2,1,14.05732888,11,0,3,0,1,0,0,2.314587628,3
Scott Bean,786-97-4065,"690 Jonathan Knolls, Staffordside, TN 72468",736-387-1106,1149,15,0,1,4,1.360204639,22,0,1,1,1,0,1,1.00722582,4
Kyle Johnson,120-31-4765,"5495 Steven Trail, Millerburgh, MS 10746",669-421-6039,1150,18,0,2,2,3.8757826,5,0,3,1,0,0,0,2.881612321,2
Lance Henderson,790-22-8127,"59514 Peters Fields, Cowanview, MD 62723",399-291-3748,1151,17,0,2,2,4.291296402,1,0,1,0,1,1,0,2.804504929,2
Janet Hill,880-21-0056,"582 Corey Orchard Suite 628, Sheppardville, MD 76289",222-973-7679,1152,17,1,1,1,14.7630151,20,1,3,0,1,0,0,1.762921124,4
Kristen Fox,094-03-8573,"76731 Timothy Mount Apt. 596, Austinport, IL 03734",300-442-7731,1153,15,1,0,3,3.782773927,22,0,4,1,0,0,1,1.119911263,4
Laura Lopez,552-86-2634,"USNS Mccarthy, FPO AA 18047",829-609-3027,1154,17,0,0,2,11.46983528,23,0,2,0,0,0,0,1.030657506,4
Donald Harrington,704-05-9886,"039 Holmes Park Apt. 393, Crossburgh, WI 82235",524-837-2327,1155,15,1,0,2,4.30487641,2,0,2,1,0,0,0,3.075619354,1
Brenda Bradley,358-37-2154,"6336 Jones Fields Suite 805, Fernandezhaven, NE 44796",725-863-2918,1156,16,0,0,3,17.232499,16,1,3,1,1,0,0,2.631434065,2
John Boone,490-78-1236,"051 Santiago Lodge Apt. 818, Phamburgh, MT 52791",597-847-2358,1157,17,1,0,1,18.84370909,28,0,0,0,1,1,1,0.503066907,4
